Division,MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HomeElo,AwayElo,OddHome,OddDraw,OddAway
SP1,2023-01-07,Espanol,Girona,2.0,2.0,D,1617.48,1599.2,2.3,3.41,3.17
SP1,2023-01-08,Almeria,Sociedad,0.0,2.0,A,1611.86,1756.59,4.06,3.4,1.99
SP1,2023-01-08,Vallecano,Betis,1.0,2.0,A,1637.63,1759.98,2.34,3.28,3.22
SP1,2023-01-08,Sevilla,Getafe,2.0,1.0,H,1714.77,1640.66,1.77,3.46,5.27
SP1,2023-01-08,Ath Madrid,Barcelona,0.0,1.0,A,1790.97,1874.16,3.1,3.46,2.33
SP1,2023-01-09,Ath Bilbao,Osasuna,0.0,0.0,D,1730.59,1660.81,1.68,3.69,5.6
SP1,2023-01-13,Celta,Villarreal,1.0,1.0,D,1634.33,1765.81,2.81,3.31,2.6
SP1,2023-01-14,Valladolid,Vallecano,0.0,1.0,A,1617.91,1637.63,2.78,3.25,2.66
SP1,2023-01-14,Girona,Sevilla,2.0,1.0,H,1599.2,1714.77,2.42,3.34,3.03
SP1,2023-01-14,Osasuna,Mallorca,1.0,0.0,H,1660.81,1623.51,2.06,3.12,4.21
SP1,2023-01-14,Sociedad,Ath Bilbao,3.0,1.0,H,1756.59,1730.59,2.45,3.19,3.12
SP1,2023-01-15,Getafe,Espanol,1.0,2.0,A,1635.83,1615.17,2.54,3.02,3.14
SP1,2023-01-15,Almeria,Ath Madrid,1.0,1.0,D,1603.31,1783.3,4.84,3.84,1.73
SP1,2023-01-16,Cadiz,Elche,1.0,1.0,D,1609.86,1537.73,1.94,3.38,4.29
SP1,2023-01-20,Mallorca,Celta,1.0,0.0,H,1624.15,1643.8,2.85,2.76,3.06
SP1,2023-01-21,Vallecano,Sociedad,0.0,2.0,A,1640.26,1773.04,3.14,3.16,2.45
SP1,2023-01-21,Espanol,Betis,1.0,0.0,H,1615.17,1766.61,2.79,3.16,2.72
SP1,2023-01-21,Ath Madrid,Valladolid,3.0,0.0,H,1783.3,1602.3,1.38,4.8,8.75
SP1,2023-01-21,Sevilla,Cadiz,1.0,0.0,H,1710.07,1609.86,1.7,3.73,5.3
SP1,2023-01-22,Villarreal,Girona,1.0,0.0,H,1774.97,1611.04,1.75,3.95,4.54
SP1,2023-01-22,Elche,Osasuna,1.0,1.0,D,1537.73,1670.19,3.62,3.29,2.16
SP1,2023-01-22,Barcelona,Getafe,1.0,0.0,H,1881.83,1635.83,1.18,7.33,17.65
SP1,2023-01-22,Ath Bilbao,Real Madrid,0.0,2.0,A,1719.0,1943.4,2.91,3.47,2.43
SP1,2023-01-23,Valencia,Almeria,2.0,2.0,D,1672.96,1603.31,1.61,4.13,5.46
SP1,2023-01-27,Almeria,Espanol,3.0,1.0,H,1603.31,1615.17,2.4,3.18,3.23
SP1,2023-01-28,Cadiz,Mallorca,2.0,0.0,H,1609.86,1624.15,2.89,2.8,2.94
SP1,2023-01-28,Girona,Barcelona,0.0,1.0,A,1611.04,1881.83,5.27,4.31,1.61
SP1,2023-01-28,Sevilla,Elche,3.0,0.0,H,1710.07,1537.73,1.52,4.13,6.93
SP1,2023-01-28,Getafe,Betis,0.0,1.0,A,1635.83,1766.61,3.15,2.89,2.63
SP1,2023-01-29,Valladolid,Valencia,1.0,0.0,H,1602.3,1672.96,3.16,3.26,2.38
SP1,2023-01-29,Osasuna,Ath Madrid,0.0,1.0,A,1670.19,1783.3,3.58,3.23,2.2
SP1,2023-01-29,Celta,Ath Bilbao,1.0,0.0,H,1643.8,1719.0,2.9,3.05,2.7
SP1,2023-01-29,Real Madrid,Sociedad,0.0,0.0,D,1943.4,1773.04,1.71,3.93,4.96
SP1,2023-01-30,Villarreal,Vallecano,0.0,1.0,A,1774.97,1640.26,1.7,3.84,5.13
SP1,2023-02-01,Betis,Barcelona,1.0,2.0,A,1763.14,1887.04,5.09,4.05,1.67
SP1,2023-02-02,Real Madrid,Valencia,2.0,0.0,H,1943.62,1661.12,1.43,4.92,7.06
SP1,2023-02-03,Ath Bilbao,Cadiz,4.0,1.0,H,1704.54,1612.15,1.37,4.69,9.68
SP1,2023-02-04,Espanol,Osasuna,1.0,1.0,D,1625.73,1661.52,2.58,3.05,3.03
SP1,2023-02-04,Elche,Villarreal,3.0,1.0,H,1538.1,1764.66,5.22,3.87,1.69
SP1,2023-02-04,Ath Madrid,Getafe,1.0,1.0,D,1792.01,1617.01,1.42,4.24,9.63
SP1,2023-02-04,Betis,Celta,3.0,4.0,A,1763.14,1645.24,2.22,3.16,3.65
SP1,2023-02-05,Mallorca,Real Madrid,1.0,0.0,H,1620.85,1943.62,5.05,3.63,1.75
SP1,2023-02-05,Girona,Valencia,1.0,0.0,H,1604.73,1661.12,2.22,3.34,3.4
SP1,2023-02-05,Sociedad,Valladolid,0.0,1.0,A,1788.0,1605.55,1.43,4.4,8.29
SP1,2023-02-05,Barcelona,Sevilla,3.0,0.0,H,1887.04,1719.33,1.33,5.39,9.7
SP1,2023-02-06,Vallecano,Almeria,2.0,0.0,H,1644.48,1620.04,1.75,3.73,4.88
SP1,2023-02-10,Cadiz,Girona,2.0,0.0,H,1612.15,1604.73,3.06,3.18,2.5
SP1,2023-02-11,Almeria,Betis,2.0,3.0,A,1620.04,1763.14,2.91,3.35,2.48
SP1,2023-02-11,Sevilla,Mallorca,2.0,0.0,H,1719.33,1620.85,1.97,3.15,4.57
SP1,2023-02-11,Valencia,Ath Bilbao,1.0,2.0,A,1661.12,1704.54,3.01,3.25,2.48
SP1,2023-02-12,Getafe,Vallecano,1.0,1.0,D,1617.01,1644.48,2.87,2.83,2.92
SP1,2023-02-12,Celta,Ath Madrid,0.0,1.0,A,1645.24,1792.01,3.58,3.21,2.2
SP1,2023-02-12,Valladolid,Osasuna,0.0,0.0,D,1605.55,1661.52,2.8,3.06,2.76
SP1,2023-02-12,Villarreal,Barcelona,0.0,1.0,A,1764.66,1887.04,4.2,3.85,1.83
SP1,2023-02-13,Espanol,Sociedad,2.0,3.0,A,1625.73,1788.0,3.45,3.1,2.31
SP1,2023-02-15,Real Madrid,Elche,4.0,0.0,H,1931.71,1555.41,1.2,7.12,14.67
SP1,2023-02-17,Girona,Almeria,6.0,2.0,H,1603.09,1605.5,1.84,3.65,4.41
SP1,2023-02-18,Sociedad,Celta,1.0,1.0,D,1779.92,1651.28,1.8,3.44,5.03
SP1,2023-02-18,Betis,Valladolid,2.0,1.0,H,1750.37,1618.82,1.63,3.9,5.77
SP1,2023-02-18,Mallorca,Villarreal,4.0,2.0,H,1628.46,1741.49,3.34,2.94,2.47
SP1,2023-02-18,Osasuna,Real Madrid,0.0,2.0,A,1663.1,1931.71,4.54,3.64,1.82
SP1,2023-02-19,Elche,Espanol,0.0,1.0,A,1555.41,1618.94,2.89,3.14,2.63
SP1,2023-02-19,Vallecano,Sevilla,1.0,1.0,D,1653.69,1720.88,2.5,3.15,3.07
SP1,2023-02-19,Ath Madrid,Ath Bilbao,1.0,0.0,H,1792.56,1720.56,2.05,3.27,4.0
SP1,2023-02-19,Barcelona,Cadiz,2.0,0.0,H,1904.48,1613.87,1.19,7.09,14.96
SP1,2023-02-20,Getafe,Valencia,1.0,0.0,H,1621.92,1642.78,2.83,2.91,2.87
SP1,2023-02-24,Elche,Betis,2.0,3.0,A,1555.41,1750.37,3.7,3.41,2.09
SP1,2023-02-25,Espanol,Mallorca,2.0,1.0,H,1618.94,1628.46,2.58,2.93,3.19
SP1,2023-02-25,Cadiz,Vallecano,1.0,0.0,H,1613.87,1653.69,2.99,2.96,2.7
SP1,2023-02-25,Real Madrid,Ath Madrid,1.0,1.0,D,1931.71,1792.56,1.82,3.65,4.6
SP1,2023-02-25,Valencia,Sociedad,1.0,0.0,H,1642.78,1779.92,3.09,3.2,2.46
SP1,2023-02-26,Ath Bilbao,Girona,2.0,3.0,A,1720.56,1603.09,1.69,3.78,5.29
SP1,2023-02-26,Celta,Valladolid,3.0,0.0,H,1651.28,1618.82,1.68,3.77,5.49
SP1,2023-02-26,Almeria,Barcelona,1.0,0.0,H,1605.5,1904.48,6.87,4.9,1.44
SP1,2023-02-26,Sevilla,Osasuna,2.0,3.0,A,1720.88,1663.1,1.88,3.46,4.51
SP1,2023-02-27,Villarreal,Getafe,2.0,1.0,H,1741.49,1621.92,1.68,3.68,5.67
SP1,2023-03-03,Sociedad,Cadiz,0.0,0.0,D,1768.86,1623.01,1.53,3.93,7.47
SP1,2023-03-04,Getafe,Girona,3.0,2.0,H,1628.66,1632.32,2.79,2.96,2.89
SP1,2023-03-04,Almeria,Villarreal,0.0,2.0,A,1610.28,1736.2,3.43,3.66,2.09
SP1,2023-03-04,Mallorca,Elche,0.0,1.0,A,1639.05,1544.6,1.71,3.39,6.09
SP1,2023-03-04,Ath Madrid,Sevilla,6.0,1.0,H,1806.97,1721.93,1.7,3.65,5.46
SP1,2023-03-05,Valladolid,Espanol,2.0,1.0,H,1610.0,1637.77,2.55,3.21,2.93
SP1,2023-03-05,Barcelona,Valencia,1.0,0.0,H,1885.42,1649.65,1.53,4.33,6.25
